approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
4,36,1,41,5275,GIDDINGS,Lee (County),4332,4,33,5,3,9e90d46f831caa3f1d091413faeb9588,5a2f5292758c6e4347f8918f,2019-01-29T15:58:18.098Z,25,20393.0,31485,117629.0,TX,169507.0,369306,70,0,87,78942
0,1,0,1,5680,BEAIMONT,Jefferson (County),4332,0,1,0,0,7cda1e8771cb7080b893210a14fabcf6,5a2f5292758c6e4347f891ad,2018-11-20T19:06:47.169Z,0,500.0,0,5680.0,TX,6180.0,5680,1,0,1,77705
2,17,1,20,4390,EVADALE,Jasper (County),4332,4,19,1,0,a39d785ecb129ad611f4903250b6b6f6,5a2f5292758c6e4347f891aa,2018-11-20T19:06:47.324Z,10,7247.0,14818,81701.0,TX,103766.0,149266,34,0,57,77615
0,4,0,4,866,LA SALLE,Jackson (County),4332,0,9,0,0,fbf300b44bcb11788b040ae909d3c6fe,5a2f5292758c6e4347f891bf,2019-01-29T15:58:17.982Z,3,1000.0,3582,8166.0,TX,12748.0,10400,12,0,18,77969
0,1,0,1,11796,PINEHURST,Harris (County),4332,1,0,0,0,cf27d882495ab6b83807a6bb32911774,5a2f5292758c6e4347f8919a,2018-11-20T19:06:47.067Z,0,500.0,2132,7025.0,TX,9657.0,11796,1,0,1,77362
0,1,0,1,6733,BAYTOWN,Liberty (County),4332,0,1,0,0,d8abd8dffda900aa1047c9452ecaa19e,5a2f5292758c6e4347f89191,2018-11-20T19:06:47.086Z,0,0.0,0,6716.0,TX,6716.0,6733,1,0,1,77523
261,1138,471,1870,21710,BEAUMONT,Jefferson (County),4332,198,351,202,787,ce9eeaca976c70dfc616751e11464384,5a2f5292758c6e4347f89160,2019-01-29T15:58:17.985Z,546,2227930.0,2309469,16946024.0,TX,21483423.0,45244885,2084,314,2741,77713
5,15,15,35,36460,PORTER,Harris (County),4332,6,4,11,16,60a07867f43f8818eef9332eac487ced,5a2f5292758c6e4347f8919b,2018-11-20T19:06:47.067Z,2,91437.0,71054,466516.0,TX,629007.0,1421949,39,8,43,77365
94,345,2,441,3638,PASADENA,Harris (County),4332,113,432,6,3,4a18d5ddbdbc5d2a6eb6b5f391330f8e,5a2f5292758c6e4347f891b0,2019-01-29T14:38:01.724Z,195,299772.0,342142,1567122.0,TX,2209036.0,2724986,749,2,1044,77503
0,0,1,1,23071,HOUSTON,Liberty (County),4332,0,0,1,0,5eba804c263ca16e7141f423a9e044fa,5a2f5292758c6e4347f89196,2019-01-29T15:58:17.989Z,0,8648.0,3688,16928.0,TX,29265.0,23072,1,0,1,77078
1,3,1,5,12350,KLEIN,Harris (County),4332,1,0,2,1,764b82c50c0d2eb7c93779137defebcc,5a2f5292758c6e4347f891cd,2018-11-20T19:06:46.616Z,5,1500.0,8668,44066.0,TX,54234.0,111151,9,1,13,77379
19,27,31,77,28871,NEW CANEY,Harris (County),4332,11,12,16,43,c6cd723b3d3e6c4a508b00ce97988ef4,5a2f5292758c6e4347f891d2,2019-01-29T15:58:18.084Z,9,146557.0,150140,1110226.0,TX,1406923.0,2627270,91,19,97,77357
5,33,2,40,2651,BROOKELAND,Jasper (County),4332,3,41,2,0,2661f536ac2539baecc0195c712e0562,5a2f5292758c6e4347f891a9,2019-01-29T15:58:18.095Z,27,22819.0,40194,150709.0,TX,213721.0,193582,73,1,113,75931
269,887,149,1305,10965,SPRING,Harris (County),4332,231,448,267,200,5251a6b4f5b3dfaeaf1aedd83b9c91a5,5a2f5292758c6e4347f8919f,2019-01-29T15:58:18.060Z,569,1331725.0,2027032,7561457.0,TX,10920213.0,18805107,1715,60,2906,77373
353,731,18,1102,5799,PASADENA,Harris (County),4332,429,857,52,8,c22ee2954e61b6ea844266454e251862,5a2f5292758c6e4347f891d3,2019-01-29T15:58:18.085Z,344,867517.0,1065344,5678024.0,TX,7610884.0,9801689,1690,3,2146,77502
1,1,0,2,7970,WILLIS,Harris (County),4332,1,1,0,0,fa44fefc6a57688e8bdebe65060fb315,5a2f5292758c6e4347f891a5,2018-11-20T19:06:47.072Z,0,4693.0,2132,13190.0,TX,20015.0,15941,2,0,2,77318
0,28,0,28,763,PALACIOS,Jackson (County),4332,0,26,0,0,00ea39cb8e5055eedfaee78c37ec6362,5a2f5292758c6e4347f89179,2018-11-20T19:06:47.005Z,15,11655.0,7328,15202.0,TX,34185.0,31292,41,0,90,77465
0,0,1,1,25899,CLEVELAND,Liberty (County),4332,0,0,1,0,cfc40046f858b7fed019aee7c566251f,5a2f5292758c6e4347f89192,2019-01-29T15:58:18.068Z,0,11284.0,1742,19674.0,TX,32700.0,25900,1,1,1,77368
34,210,7,251,4080,KIRBYVILLE,Jasper (County),4332,40,182,12,8,68d91dd965c2e96e3c2bf939b0471b69,5a2f5292758c6e4347f891c3,2019-01-29T15:58:17.983Z,151,209563.0,139398,705985.0,TX,1054946.0,1603793,393,3,603,75956
120,583,27,730,4684,LIBERTY,Liberty (County),4332,114,608,51,16,701bda1bb401d53297b89ba75f9d2197,5a2f5292758c6e4347f89197,2019-01-29T14:38:01.717Z,276,633193.0,759980,2661539.0,TX,4054712.0,4988498,1065,7,1368,77575
0,14,0,14,1191,RUNGE,Karnes (County),4332,0,23,0,0,cfc5318ac71ba57fb8c9a3e0481469cf,5a2f5292758c6e4347f8918c,2019-01-29T15:58:18.066Z,8,1623.0,5988,28098.0,TX,35709.0,36937,31,0,37,78151
5,10,0,15,5915,HARDIN,Liberty (County),4332,8,11,0,0,c09a41e1744370a544f56fd335559c9a,5a2f5292758c6e4347f89195,2019-01-29T15:58:17.988Z,7,14021.0,19403,71539.0,TX,104963.0,153807,26,0,30,77561
0,13,0,13,979,CALL,Jasper (County),4332,0,11,0,0,441411a4f7ae459f9b958ddd0e84ea8b,5a2f5292758c6e4347f891c2,2019-01-29T15:58:17.983Z,7,3829.0,6234,7199.0,TX,17261.0,17633,18,0,28,75933
0,1,0,1,7602,GROVES,Jefferson (County),4332,0,1,0,0,c3a70497544d715fe7b2ab905c391b84,5a2f5292758c6e4347f89183,2018-11-20T19:06:47.328Z,0,0.0,1398,7602.0,TX,9000.0,7602,1,0,1,77642
66,138,1,205,5583,WEBSTER,Harris (County),4332,87,127,9,3,0013338416ac4ca1ee4e4667106fc918,5a2f5292758c6e4347f891bd,2018-11-20T19:06:47.004Z,88,143458.0,215935,922776.0,TX,1282169.0,1753163,314,0,471,77598
1,0,0,1,14797,MAURICEVILLE,Jasper (County),4332,1,0,0,0,935d406edfb8bd78abd5c00635a1faa4,5a2f5292758c6e4347f891ab,2018-11-20T19:06:47.325Z,0,0.0,1932,12262.0,TX,14194.0,14797,1,0,1,77626
8,22,1,31,4031,JACINTO CITY,Harris (County),4332,11,35,0,1,d77aa00da7aee8384776772135d343de,5a2f5292758c6e4347f891c9,2018-11-20T19:06:46.602Z,13,36343.0,28256,139645.0,TX,204244.0,241879,60,1,69,77029
